cddept,referenceprel,cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,libwebparametre,qualitparam,insituana,rqana,cdunitereferencesiseeaux,cdunitereference,limitequal,refqual,valtraduite,casparam,referenceanl
"040","04000153427","ALTMICR","1370","ALUMINIUM TOTAL µG/L","Aluminium total µg/l","","N","L","<5","µg/L","133","","<=200 µg/L","0.000000","7429-90-5","04000153924"
"040","04000153427","ASP","6489","ASPECT (QUALITATIF)","Aspect (qualitatif)",,"O","T","Aspect normal","SANS OBJET","X","","","0.000000","",""
"040","04000153427","BSIR","1042","BACT. ET SPORES SULFITO-RÉDU./100ML","Bact. et spores sulfito-rédu./100ml",,"N","L","0","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","04000153924"
"040","04000153427","CDT25","1303","CONDUCTIVITÉ À 25°C","Conductivité à 25°C",,"N","L","460","µS/cm","147","",">=200 et <=1100 µS/cm","460.000000","","04000153924"
"040","04000153427","CL","1337","CHLORURES","Chlorures",,"N","L","73","mg/L","162","","<=250 mg/L","73.000000","16887-00-6","04000153924"
"040","04000153427","CL2LIB","1398","CHLORE LIBRE","Chlore libre",,"N","T","0,07","mg(Cl2)/L","165","","","0.070000","",""
"040","04000153427","CL2TOT","1399","CHLORE TOTAL","Chlore total",,"N","T","0,13","mg(Cl2)/L","165","","","0.130000","",""
"040","04000153427","COT","1841","CARBONE ORGANIQUE TOTAL","Carbone organique total",,"N","L","1,14","mg(C)/L","163","","<=2 mg(C)/L","1.140000","","04000153924"
"040","04000153427","COULF","1309","COLORATION","Coloration",,"N","L","<5","mg(Pt)/L","178","","<=15 mg(Pt)/L","0.000000","","04000153924"
"040","04000153427","CTF","1447","BACTÉRIES COLIFORMES /100ML-MS","Bactéries coliformes /100ml-MS",,"N","L","0","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","04000153924"
"040","04000153427","ECOLI","1449","ESCHERICHIA COLI /100ML - MF","Escherichia coli /100ml - MF",,"N","L","0","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","04000153924"
"040","04000153427","FET","1393","FER TOTAL","Fer total",,"N","L","26,3","µg/L","133","","<=200 µg/L","26.300000","7439-89-6","04000153924"
"040","04000153427","GT22_68","5440","BACT. AÉR. REVIVIFIABLES À 22°-68H","Bact. aér. revivifiables à 22°-68h",,"N","L","1","n/mL","222","","","1.000000","","04000153924"
"040","04000153427","GT36_44","5441","BACT. AÉR. REVIVIFIABLES À 36°-44H","Bact. aér. revivifiables à 36°-44h",,"N","L","1","n/mL","222","","","1.000000","","04000153924"
"040","04000153427","MN","1394","MANGANÈSE TOTAL","Manganèse total",,"N","L","3,39","µg/L","133","","<=50 µg/L","3.390000","7439-96-5","04000153924"
"040","04000153427","NH4","1335","AMMONIUM (EN NH4)","Ammonium (en NH4)",,"N","L","0,0163","mg/L","162","","<=0,1 mg/L","0.016300","14798-03-9","04000153924"
"040","04000153427","NO2","1339","NITRITES (EN NO2)","Nitrites (en NO2)",,"N","L","<0,01","mg/L","162","<=0,5 mg/L","","0.000000","14797-65-0","04000153924"
"040","04000153427","NO3","1340","NITRATES (EN NO3)","Nitrates (en NO3)",,"N","L","1,5","mg/L","162","<=50 mg/L","","1.500000","14797-55-8","04000153924"
"040","04000153427","NO3_NO2","6374","NITRATES/50 + NITRITES/3","Nitrates/50 + Nitrites/3","","N","L","0,03","mg/L","162","<=1 mg/L","","0.030000","","04000153924"
"040","04000153427","PH","1302","PH ","pH",,"N","T","7,7","unité pH","264","",">=6,5 et <=9 unité pH","7.700000","",""
"040","04000153427","SAVQ","5902","SAVEUR (QUALITATIF)","Saveur (qualitatif)",,"O","L","Aucun changement anormal","SANS OBJET","X","","","0.000000","","04000153924"
"040","04000153427","SO4","1338","SULFATES","Sulfates",,"N","L","6","mg/L","162","","<=250 mg/L","6.000000","","04000153924"
"040","04000153427","STRF","6455","ENTÉROCOQUES /100ML-MS","Entérocoques /100ml-MS",,"N","L","0","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","04000153924"
"040","04000153427","TA","1346","TITRE ALCALIMÉTRIQUE","Titre alcalimétrique","","N","L","0,1","°f","28","","","0.100000","","04000153924"
"040","04000153427","TAC","1347","TITRE ALCALIMÉTRIQUE COMPLET","Titre alcalimétrique complet","","N","L","12,3","°f","28","","","12.300000","","04000153924"
