cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"032","032000120","32013","AUCH","","","","03200098429","2026-01-13","14h37","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AUCH VILLE","VEOLIA EAU","MAIRIE DE AUCH","C","C","C","C"
"032","032000120","32013","AUCH","","","","03200098512","2026-01-27","12h09","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AUCH VILLE","VEOLIA EAU","MAIRIE DE AUCH","C","C","C","C"
"032","032000120","32013","AUCH","","","","03200098539","2026-02-27","09h36","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AUCH VILLE","VEOLIA EAU","MAIRIE DE AUCH","C","C","C","C"
"032","032000120","32013","AUCH","","","","03200098630","2026-02-12","08h17","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AUCH VILLE","VEOLIA EAU","MAIRIE DE AUCH","C","C","C","C"
"032","032000121","32021","AVENSAC","","","","03200098540","2026-02-03","10h07","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AVENSAC (S.E. LOMAGNE)","SAUR MIDI PYRENEES","SYNDICAT DES EAUX DE LA LOMAGNE","C","C","C","C"
"032","032000128","32075","CASSAIGNE","","","","03200098494","2026-01-19","09h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","CONDOM CAUSSENS","VEOLIA EAU","S.I.A.E.P DE CONDOM-CAUSSENS","C","C","C","C"
"032","032000131","32083","CASTERA-VERDUZAN","","","","03200098483","2026-01-27","10h25","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","TRIGONE EAU","TRIGONE EAU","TRIGONE EAU","C","C","C","C"
"032","032000131","32083","CASTERA-VERDUZAN","","","","03200098589","2026-02-17","11h10","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","TRIGONE EAU","TRIGONE EAU","TRIGONE EAU","C","C","C","C"
"032","032000134","32096","CAZAUBON","","","","03200098454","2026-01-29","10h38","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SETA","SETA","SETA","C","C","C","C"
"032","032000134","32096","CAZAUBON","","","","03200098507","2026-01-29","10h40","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SETA","SETA","SETA","S","C","S","C"
"032","032000134","32096","CAZAUBON","","","","03200098561","2026-02-20","10h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SETA","SETA","SETA","C","C","C","C"
"032","032000135","32107","CONDOM","","","","03200098493","2026-01-19","10h22","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","CONDOM CAUSSENS","VEOLIA EAU","S.I.A.E.P DE CONDOM-CAUSSENS","C","C","C","C"
"032","032000135","32107","CONDOM","","","","03200098515","2026-01-19","10h42","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","CONDOM CAUSSENS","VEOLIA EAU","S.I.A.E.P DE CONDOM-CAUSSENS","C","C","C","C"
"032","032000135","32107","CONDOM","","","","03200098610","2026-02-04","09h54","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","CONDOM CAUSSENS","VEOLIA EAU","S.I.A.E.P DE CONDOM-CAUSSENS","C","C","C","C"
"032","032000136","32110","COURRENSAN","","","","03200098430","2026-01-15","09h28","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COURRENSAN","MAIRIE DE COURRENSAN","MAIRIE DE COURRENSAN","C","C","C","C"
"032","032000141","32405","SAINTE-RADEGONDE","","","","03200098487","2026-01-14","09h46","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SERF","VEOLIA EAU","SY EAU POTABLE REGION FLEURANCE","C","C","C","C"
"032","032000141","32441","TAYBOSC","","","","03200098488","2026-01-14","08h36","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SERF","VEOLIA EAU","SY EAU POTABLE REGION FLEURANCE","C","C","C","C"
"032","032000141","32405","SAINTE-RADEGONDE","","","","03200098502","2026-01-14","09h36","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SERF","VEOLIA EAU","SY EAU POTABLE REGION FLEURANCE","S","C","S","C"
"032","032000141","32441","TAYBOSC","","","","03200098514","2026-01-14","08h54","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SERF","VEOLIA EAU","SY EAU POTABLE REGION FLEURANCE","S","C","S","C"
"032","032000141","32066","BRUGNENS","","","","03200098596","2026-02-11","09h22","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SERF","VEOLIA EAU","SY EAU POTABLE REGION FLEURANCE","C","C","C","C"
"032","032000141","32329","PRECHAC","","","","03200098597","2026-02-11","08h45","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SERF","VEOLIA EAU","SY EAU POTABLE REGION FLEURANCE","C","C","C","C"
"032","032000147","32160","ISLE-JOURDAIN (L')","","","","03200098432","2026-01-29","11h17","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
"032","032000147","32160","ISLE-JOURDAIN (L')","","","","03200098543","2026-02-19","10h49","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Le non respect de la référence de qualité régl ementaire porte sur au moins un paramètre microbiologique et n'a toute fois pas nécessité une restriction de consommation de l'eau. Il a été demandé à l'exploitant de prendre les mesures correctives nécessaires pour rétablir la qualité de l'eau. Un nouveau contrôle a été programmé pour vérifier le retour à une situ ation normale","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
"032","032000147","32160","ISLE-JOURDAIN (L')","","","","03200098629","2026-02-19","10h09","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
"032","032000147","32160","ISLE-JOURDAIN (L')","","","","03200098631","2026-02-19","10h03","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","S","C","S","C"
"032","032000147","32160","ISLE-JOURDAIN (L')","","","","03200099735","2026-02-26","12h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
"032","032000173","32425","SEGOUFIELLE","","","","03200098433","2026-01-29","09h22","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","C","C","C","C"
"032","032000173","32425","SEGOUFIELLE","","","","03200098544","2026-02-19","11h07","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","C","C","C","C"
"032","032000174","32160","ISLE-JOURDAIN (L')","032000147","ISLE JOURDAIN","100 %","03200098432","2026-01-29","11h17","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
"032","032000174","32425","SEGOUFIELLE","","","","03200098434","2026-01-29","10h23","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","C","C","C","C"
"032","032000174","32160","ISLE-JOURDAIN (L')","032000147","ISLE JOURDAIN","100 %","03200098543","2026-02-19","10h49","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Le non respect de la référence de qualité régl ementaire porte sur au moins un paramètre microbiologique et n'a toute fois pas nécessité une restriction de consommation de l'eau. Il a été demandé à l'exploitant de prendre les mesures correctives nécessaires pour rétablir la qualité de l'eau. Un nouveau contrôle a été programmé pour vérifier le retour à une situ ation normale","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
"032","032000174","32160","ISLE-JOURDAIN (L')","032000147","ISLE JOURDAIN","100 %","03200098629","2026-02-19","10h09","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
"032","032000174","32160","ISLE-JOURDAIN (L')","032000147","ISLE JOURDAIN","100 %","03200098631","2026-02-19","10h03","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","S","C","S","C"
"032","032000174","32425","SEGOUFIELLE","","","","03200098644","2026-01-06","11h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","MAIRIE DE SEGOUFIELLE","C","C","C","C"
"032","032000174","32160","ISLE-JOURDAIN (L')","032000147","ISLE JOURDAIN","100 %","03200099735","2026-02-26","12h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ISLE JOURDAIN","MAIRIE DE ISLE-JOURDAIN(L')","MAIRIE DE ISLE-JOURDAIN(L')","C","C","C","C"
