cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"041","041000475","41013","BAUZY","041000223","STATION DU BOURG","100 %","04100099019","2022-02-24","08h53","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BAUZY","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000475","41013","BAUZY","","","","04100099708","2022-05-09","13h06","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BAUZY","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000475","41013","BAUZY","","","","04100100520","2022-07-18","12h22","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BAUZY","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000475","41013","BAUZY","041000223","STATION DU BOURG","100 %","04100101093","2022-09-07","09h29","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BAUZY","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000475","41013","BAUZY","","","","04100101491","2022-10-25","09h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BAUZY","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000475","41013","BAUZY","","","","04100101969","2022-12-13","10h05","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BAUZY","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","","","","04100098735","2022-01-25","11h23","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","041000224","CHATEAU D'EAU LE BOURG CL2","100 %","04100099021","2022-02-24","08h24","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","","","","04100099193","2022-03-18","11h31","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","","","","04100099396","2022-04-20","11h26","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","","","","04100099742","2022-05-13","13h24","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","041000224","CHATEAU D'EAU LE BOURG CL2","100 %","04100100006","2022-06-17","09h15","Eau conforme en bactériologie et en physico-chimie au regard des paramètres analysés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","","","","04100100283","2022-07-08","11h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","","","","04100101094","2022-09-07","10h22","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
"041","041000479","41025","BRACIEUX","041000224","CHATEAU D'EAU LE BOURG CL2","100 %","04100101489","2022-10-25","09h00","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COMMUNE DE BRACIEUX","SAUR SECTEUR DU LOIR ET CHER","COMMUNAUTE DU GRAND CHAMBORD","C","C","C","C"
