cddept,referenceprel,cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,libwebparametre,qualitparam,insituana,rqana,cdunitereferencesiseeaux,cdunitereference,limitequal,refqual,valtraduite,casparam,referenceanl
"02B","02B00103897","ASP","6489","ASPECT (QUALITATIF)","Aspect (qualitatif)",,"O","T","Aspect normal","SANS OBJET","X","","","0.000000","",""
"02B","02B00103897","BSIR","1042","BACT. ET SPORES SULFITO-RÉDU./100ML","Bact. et spores sulfito-rédu./100ml",,"N","L","0","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","02B00101522"
"02B","02B00103897","CA","1374","CALCIUM","Calcium","","N","L","2,56","mg/L","162","","","2.560000","7440-70-2","02B00101522"
"02B","02B00103897","CDT25","1303","CONDUCTIVITÉ À 25°C","Conductivité à 25°C",,"N","L","67","µS/cm","147","",">=200 et <=1100 µS/cm","67.000000","","02B00101522"
"02B","02B00103897","CL","1337","CHLORURES","Chlorures",,"N","L","9,9","mg/L","162","","<=250 mg/L","9.900000","","02B00101522"
"02B","02B00103897","CL2LIB","1398","CHLORE LIBRE","Chlore libre",,"N","T","<0,05","mg(Cl2)/L","165","","","0.000000","",""
"02B","02B00103897","CL2TOT","1399","CHLORE TOTAL","Chlore total",,"N","L","<0,05","mg(Cl2)/L","165","","","0.000000","","02B00101522"
"02B","02B00103897","COT","1841","CARBONE ORGANIQUE TOTAL","Carbone organique total",,"N","L","1,3","mg(C)/L","163","","<=2 mg(C)/L","1.300000","","02B00101522"
"02B","02B00103897","COULQ","5900","COULEUR (QUALITATIF)","Couleur (qualitatif)",,"O","L","Aucun changement anormal","SANS OBJET","X","","","0.000000","","02B00101522"
"02B","02B00103897","CTF","1447","BACTÉRIES COLIFORMES /100ML-MS","Bactéries coliformes /100ml-MS",,"N","L","0","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","02B00101522"
"02B","02B00103897","ECOLI","1449","ESCHERICHIA COLI /100ML - MF","Escherichia coli /100ml - MF",,"N","L","0","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","02B00101522"
"02B","02B00103897","GT22_68","5440","BACT. AÉR. REVIVIFIABLES À 22°-68H","Bact. aér. revivifiables à 22°-68h",,"N","L","31","n/mL","222","","","31.000000","","02B00101522"
"02B","02B00103897","GT36_44","5441","BACT. AÉR. REVIVIFIABLES À 36°-44H","Bact. aér. revivifiables à 36°-44h",,"N","L","0","n/mL","222","","","0.000000","","02B00101522"
"02B","02B00103897","NH4","1335","AMMONIUM (EN NH4)","Ammonium (en NH4)",,"N","L","<0,05","mg/L","162","","<=0,1 mg/L","0.000000","14798-03-9","02B00101522"
"02B","02B00103897","NO2","1339","NITRITES (EN NO2)","Nitrites (en NO2)",,"N","L","<0,05","mg/L","162","<=0,5 mg/L","","0.000000","","02B00101522"
"02B","02B00103897","NO3","1340","NITRATES (EN NO3)","Nitrates (en NO3)",,"N","L","3,6","mg/L","162","<=50 mg/L","","3.600000","","02B00101522"
"02B","02B00103897","NO3_NO2","6374","NITRATES/50 + NITRITES/3","Nitrates/50 + Nitrites/3","","N","L","0,07","mg/L","162","<=1 mg/L","","0.070000","","02B00101522"
"02B","02B00103897","ODQ","5901","ODEUR (QUALITATIF)","Odeur (qualitatif)",,"O","T","Aucun changement anormal","SANS OBJET","X","","","0.000000","",""
"02B","02B00103897","PH","1302","PH ","pH",,"N","T","7,8","unité pH","264","",">=6,5 et <=9 unité pH","7.800000","",""
"02B","02B00103897","SAVQ","5902","SAVEUR (QUALITATIF)","Saveur (qualitatif)",,"O","T","Aucun changement anormal","SANS OBJET","X","","","0.000000","",""
"02B","02B00103897","SO4","1338","SULFATES","Sulfates",,"N","L","3,0","mg/L","162","","<=250 mg/L","3.000000","","02B00101522"
"02B","02B00103897","STRF","6455","ENTÉROCOQUES /100ML-MS","Entérocoques /100ml-MS",,"N","L","0","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","02B00101522"
"02B","02B00103897","TA","1346","TITRE ALCALIMÉTRIQUE","Titre alcalimétrique","","N","L","<0,1","°f","28","","","0.000000","","02B00101522"
"02B","02B00103897","TAC","1347","TITRE ALCALIMÉTRIQUE COMPLET","Titre alcalimétrique complet","","N","L","0,82","°f","28","","","0.820000","","02B00101522"
