cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"007","007000002","07012","ARCENS","","","","00700182186","2022-04-11","13h09","Eau d'alimentation non-conforme aux exigences de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","N","C","N","C"
"007","007000002","07012","ARCENS","","","","00700182672","2022-04-19","09h14","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","N","C"
"007","007000002","07012","ARCENS","","","","00700182795","2022-05-16","11h51","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","C"
"007","007000002","07012","ARCENS","007002552","ARCENS TTP LANTEYRON","100 %","00700183735","2022-06-13","09h18","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000002","07012","ARCENS","","","","00700187329","2022-10-11","11h14","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","C"
"007","007000002","07012","ARCENS","","","","00700188471","2022-12-12","11h26","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000006","07012","ARCENS","","","","00700181081","2022-02-01","08h54","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000006","07012","ARCENS","","","","00700182796","2022-05-16","11h25","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000006","07012","ARCENS","007002551","ARCENS TTP MASSAS","100 %","00700183734","2022-06-13","09h42","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000006","07012","ARCENS","","","","00700184045","2022-07-04","12h14","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000006","07012","ARCENS","","","","00700185707","2022-08-11","11h46","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000006","07012","ARCENS","007002551","ARCENS TTP MASSAS","100 %","00700186768","2022-09-12","09h40","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000007","07012","ARCENS","007000005","ARCENS TTP VILLAGE","100 %","00700181031","2022-01-18","09h07","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000007","07012","ARCENS","","","","00700181574","2022-03-21","09h44","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000007","07012","ARCENS","","","","00700182187","2022-04-11","13h35","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000007","07012","ARCENS","","","","00700187330","2022-10-20","12h07","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000007","07012","ARCENS","007000005","ARCENS TTP VILLAGE","100 %","00700188238","2022-11-10","10h09","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000007","07012","ARCENS","","","","00700188472","2022-12-12","11h53","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","CCVE AFFERMEE","SAUR ANNONAY","CCOM VAL'EYRIEUX","C","C","C","N"
"007","007000011","07020","AUBIGNAS","007002957","REVISCOU LAFARE","100 %","00700181871","2022-03-30","11h11","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","AUBIGNAS COMMUNALE","MAIRIE DE AUBIGNAS","MAIRIE DE AUBIGNAS","C","C","C","N"
"007","007000011","07020","AUBIGNAS","","","","00700182328","2022-04-13","09h25","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","AUBIGNAS COMMUNALE","MAIRIE DE AUBIGNAS","MAIRIE DE AUBIGNAS","C","C","C","N"
