cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"02B","02B000004","2B005","ALANDO","02B000002","RESERVOIR ALANDO","100 %","02B00106014","2022-04-21","08h30","Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. Bromates hors norme (vérifier la conformité de l'eau de javel utilisée qui doit correspondre à la norme NF 901 ou PR 901 ou avec la codifica tion européenne TP5 dans le cadre du traitement de l'eau potable). La teneur en chlore libre est insuffisante.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","N","N","C","C"
"02B","02B000004","2B005","ALANDO","02B000002","RESERVOIR ALANDO","100 %","02B00107214","2022-06-13","10h00","Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Température hors norme.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","N","C","C","N"
"02B","02B000004","2B005","ALANDO","","","","02B00107215","2022-09-14","08h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000004","2B005","ALANDO","","","","02B00109046","2022-12-01","08h40","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000011","2B023","ASCO","02B000008","RESERVOIR ASCO","100 %","02B00106034","2022-03-10","07h30","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000011","2B023","ASCO","","","","02B00106038","2022-04-27","06h35","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","N","N"
"02B","02B000011","2B023","ASCO","02B000008","RESERVOIR ASCO","100 %","02B00107233","2022-08-29","07h50","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000011","2B023","ASCO","","","","02B00107235","2022-05-31","07h30","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","N","N"
"02B","02B000011","2B023","ASCO","","","","02B00109056","2022-09-05","07h20","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000021","2B003","AITI","","","","02B00105347","2022-01-12","07h50","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","C","C","C","C"
"02B","02B000021","2B003","AITI","02B000018","RESERVOIR AITI","100 %","02B00106012","2022-05-30","07h50","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","C","C","C","N"
"02B","02B000021","2B003","AITI","02B000018","RESERVOIR AITI","100 %","02B00107212","2022-08-09","09h00","Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","N","C","N","C"
"02B","02B000021","2B003","AITI","","","","02B00107213","2022-07-05","07h50","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","C","C","C","C"
"02B","02B000021","2B003","AITI","","","","02B00109045","2022-11-28","06h10","Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","N","C","N","C"
"02B","02B000021","2B003","AITI","02B000018","RESERVOIR AITI","100 %","02B00109712","2022-09-22","06h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","C","C","C","C"
"02B","02B000029","2B235","PIOGGIOLA","02B000026","RESERVOIR PIOGGIOLA","100 %","02B00107179","2022-06-21","08h10","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COM COM DE L'ILE ROUSSE-BALAGNE","COM COM DE L'ILE ROUSSE-BALAGNE","COM COM DE L'ILE ROUSSE-BALAGNE","C","C","C","C"
"02B","02B000029","2B235","PIOGGIOLA","","","","02B00107180","2022-03-22","07h00","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","COM COM DE L'ILE ROUSSE-BALAGNE","COM COM DE L'ILE ROUSSE-BALAGNE","COM COM DE L'ILE ROUSSE-BALAGNE","C","C","C","C"
