cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"02A","02A000007","2A141","LETIA","02A000006","UNITE STERILISATION U.V ST-MARTIN","100 %","02A00109263","2022-01-12","09h20","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000007","2A141","LETIA","","","","02A00109817","2022-04-11","09h50","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000007","2A141","LETIA","","","","02A00110443","2022-07-04","10h05","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. De plus une température de l'eau supérieure à 25° peut entrainer des développements bactériens.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000007","2A141","LETIA","02A000006","UNITE STERILISATION U.V ST-MARTIN","100 %","02A00111913","2022-10-10","10h20","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000007","2A141","LETIA","","","","02A00112097","2022-11-09","10h10","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000008","2A141","LETIA","02A002726","UNITE STERILISATION ST-ROCH","100 %","02A00109252","2022-01-12","09h45","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000008","2A141","LETIA","","","","02A00109818","2022-04-11","09h30","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000008","2A141","LETIA","","","","02A00110442","2022-07-04","09h50","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. De plus une température de l'eau supérieure à 25° peut entrainer des développements bactériens.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000008","2A141","LETIA","02A002726","UNITE STERILISATION ST-ROCH","100 %","02A00111914","2022-10-10","10h00","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000008","2A141","LETIA","","","","02A00112098","2022-11-09","10h15","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La teneur en chlore libre est excessive.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000010","2A060","CANNELLE","02A002109","UNITE STERILISATION CANNELLE","100 %","02A00109358","2022-01-06","08h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000010","2A060","CANNELLE","","","","02A00110159","2022-05-06","10h00","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000010","2A060","CANNELLE","","","","02A00110502","2022-07-05","10h25","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. La teneur en chlore libre est excessive, et l'excès de désinfectant peut générer une odeur ou une saveur désagréable.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000010","2A060","CANNELLE","","","","02A00111649","2022-09-13","08h55","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000010","2A060","CANNELLE","02A002109","UNITE STERILISATION CANNELLE","100 %","02A00111674","2022-09-13","08h35","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000013","2A014","AMBIEGNA","02A002289","UNITE STERILISATION AMBIEGNA","100 %","02A00110059","2022-05-03","09h55","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000013","2A014","AMBIEGNA","","","","02A00110160","2022-05-06","11h30","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000013","2A014","AMBIEGNA","","","","02A00110500","2022-07-05","11h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
"02A","02A000013","2A014","AMBIEGNA","","","","02A00111648","2022-09-13","08h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SYNDICAT DE CINARCA-LIAMONE","SYNDICAT DE CINARCA-LIAMONE","C","C","C","C"
