cddept,referenceprel,cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,libwebparametre,qualitparam,insituana,rqana,cdunitereferencesiseeaux,cdunitereference,limitequal,refqual,valtraduite,casparam,referenceanl
"047","04700080832","ACTPB10","1998","ACTIVITÉ PLOMB 210","Activité Plomb 210","","N","L","<0,012","Bq/L","9","","","0.000000","","04700080892"
"047","04700080832","ACTPO10","2550","ACTIVITÉ POLONIUM 210","Activité Polonium 210","","N","L","0,0018","Bq/L","9","","","0.001800","","04700080892"
"047","04700080832","ACTRD26","1964","ACTIVITÉ RADIUM 226","Activité Radium 226","","N","L","0,164","Bq/L","9","","","0.164000","","04700080892"
"047","04700080832","ACTRD28","1963","ACTIVITÉ RADIUM 228","Activité Radium 228","","N","L","0,075","Bq/L","9","","","0.075000","","04700080892"
"047","04700080832","ACTU234","2549","ACTIVITÉ URANIUM 234","Activité Uranium 234","","N","L","<0,007","Bq/L","9","","","0.000000","","04700080892"
"047","04700080832","ACTU238","2899","ACTIVITÉ URANIUM 238","Activité Uranium 238","","N","L","<0,0012","Bq/L","9","","","0.000000","","04700080892"
"047","04700080832","DI","2059","DOSE INDICATIVE","Dose indicative",,"N","L","0,0731","mSv/a","201","","<=0,1 mSv/a","0.073100","","04700080892"
"047","04700080832","PLVACR",,"PRÉLÈVEMENT SOUS ACRÉDITATION","Prélèvement sous acréditation","","O","T","OUI","SANS OBJET","X","","","1.000000","",""
"047","04700080833","ACTPB10","1998","ACTIVITÉ PLOMB 210","Activité Plomb 210","","N","L","0,015","Bq/L","9","","","0.015000","","04700080893"
"047","04700080833","ACTPO10","2550","ACTIVITÉ POLONIUM 210","Activité Polonium 210","","N","L","0,0080","Bq/L","9","","","0.008000","","04700080893"
"047","04700080833","ACTRD26","1964","ACTIVITÉ RADIUM 226","Activité Radium 226","","N","L","0,51","Bq/L","9","","","0.510000","","04700080893"
"047","04700080833","ACTRD28","1963","ACTIVITÉ RADIUM 228","Activité Radium 228","","N","L","0,056","Bq/L","9","","","0.056000","","04700080893"
"047","04700080833","ACTU234","2549","ACTIVITÉ URANIUM 234","Activité Uranium 234","","N","L","0,0147","Bq/L","9","","","0.014700","","04700080893"
"047","04700080833","ACTU238","2899","ACTIVITÉ URANIUM 238","Activité Uranium 238","","N","L","0,00142","Bq/L","9","","","0.001420","","04700080893"
"047","04700080833","DI","2059","DOSE INDICATIVE","Dose indicative",,"N","L","0,14707","mSv/a","201","","<=0,1 mSv/a","0.147070","","04700080893"
"047","04700080833","PLVACR",,"PRÉLÈVEMENT SOUS ACRÉDITATION","Prélèvement sous acréditation","","O","T","OUI","SANS OBJET","X","","","1.000000","",""
"047","04700080834","ACTPB10","1998","ACTIVITÉ PLOMB 210","Activité Plomb 210","","N","L","<0,0096","Bq/L","9","","","0.000000","","04700080894"
"047","04700080834","ACTPO10","2550","ACTIVITÉ POLONIUM 210","Activité Polonium 210","","N","L","0,0189","Bq/L","9","","","0.018900","","04700080894"
"047","04700080834","ACTRD26","1964","ACTIVITÉ RADIUM 226","Activité Radium 226","","N","L","0,143","Bq/L","9","","","0.143000","","04700080894"
"047","04700080834","ACTRD28","1963","ACTIVITÉ RADIUM 228","Activité Radium 228","","N","L","0,0099","Bq/L","9","","","0.009900","","04700080894"
"047","04700080834","ACTU234","2549","ACTIVITÉ URANIUM 234","Activité Uranium 234","","N","L","<0,0021","Bq/L","9","","","0.000000","","04700080894"
"047","04700080834","ACTU238","2899","ACTIVITÉ URANIUM 238","Activité Uranium 238","","N","L","0,0019","Bq/L","9","","","0.001900","","04700080894"
"047","04700080834","DI","2059","DOSE INDICATIVE","Dose indicative",,"N","L","0,05072","mSv/a","201","","<=0,1 mSv/a","0.050720","","04700080894"
"047","04700080834","PLVACR",,"PRÉLÈVEMENT SOUS ACRÉDITATION","Prélèvement sous acréditation","","O","T","OUI","SANS OBJET","X","","","1.000000","",""
"047","04700080835","ACTPB10","1998","ACTIVITÉ PLOMB 210","Activité Plomb 210","","N","L","<0,017","Bq/L","9","","","0.000000","","04700080895"
"047","04700080835","ACTPO10","2550","ACTIVITÉ POLONIUM 210","Activité Polonium 210","","N","L","0,0043","Bq/L","9","","","0.004300","","04700080895"
"047","04700080835","ACTRD26","1964","ACTIVITÉ RADIUM 226","Activité Radium 226","","N","L","0,069","Bq/L","9","","","0.069000","","04700080895"
"047","04700080835","ACTRD28","1963","ACTIVITÉ RADIUM 228","Activité Radium 228","","N","L","<0,012","Bq/L","9","","","0.000000","","04700080895"
"047","04700080835","ACTU234","2549","ACTIVITÉ URANIUM 234","Activité Uranium 234","","N","L","0,0063","Bq/L","9","","","0.006300","","04700080895"
"047","04700080835","ACTU238","2899","ACTIVITÉ URANIUM 238","Activité Uranium 238","","N","L","0,0018","Bq/L","9","","","0.001800","","04700080895"
"047","04700080835","DI","2059","DOSE INDICATIVE","Dose indicative",,"N","L","0,01824","mSv/a","201","","<=0,1 mSv/a","0.018240","","04700080895"
"047","04700080835","PLVACR",,"PRÉLÈVEMENT SOUS ACRÉDITATION","Prélèvement sous acréditation","","O","T","OUI","SANS OBJET","X","","","1.000000","",""
"047","04700080837","ACTPB10","1998","ACTIVITÉ PLOMB 210","Activité Plomb 210","","N","L","<0,0081","Bq/L","9","","","0.000000","","04700080897"
"047","04700080837","ACTPO10","2550","ACTIVITÉ POLONIUM 210","Activité Polonium 210","","N","L","0,0078","Bq/L","9","","","0.007800","","04700080897"
"047","04700080837","ACTRD26","1964","ACTIVITÉ RADIUM 226","Activité Radium 226","","N","L","0,142","Bq/L","9","","","0.142000","","04700080897"
"047","04700080837","ACTRD28","1963","ACTIVITÉ RADIUM 228","Activité Radium 228","","N","L","0,0219","Bq/L","9","","","0.021900","","04700080897"
"047","04700080837","ACTU234","2549","ACTIVITÉ URANIUM 234","Activité Uranium 234","","N","L","0,0048","Bq/L","9","","","0.004800","","04700080897"
"047","04700080837","ACTU238","2899","ACTIVITÉ URANIUM 238","Activité Uranium 238","","N","L","0,0101","Bq/L","9","","","0.010100","","04700080897"
"047","04700080837","DI","2059","DOSE INDICATIVE","Dose indicative",,"N","L","0,04733","mSv/a","201","","<=0,1 mSv/a","0.047330","","04700080897"
"047","04700080837","PLVACR",,"PRÉLÈVEMENT SOUS ACRÉDITATION","Prélèvement sous acréditation","","O","T","OUI","SANS OBJET","X","","","1.000000","",""
"047","04700080838","ASP","6489","ASPECT (QUALITATIF)","Aspect (qualitatif)",,"O","L","Aspect normal","SANS OBJET","X","","","0.000000","","04700080898"
"047","04700080838","CDT25","1303","CONDUCTIVITÉ À 25°C","Conductivité à 25°C",,"N","L","632","µS/cm","147","",">=200 et <=1100 µS/cm","632.000000","","04700080898"
"047","04700080838","CL2COMB","1755","CHLORE COMBINÉ","Chlore combiné",,"N","T","0,01","mg(Cl2)/L","165","","","0.010000","",""
"047","04700080838","CL2LIB","1398","CHLORE LIBRE","Chlore libre",,"N","T","0,09","mg(Cl2)/L","165","","","0.090000","",""
"047","04700080838","CL2TOT","1399","CHLORE TOTAL","Chlore total",,"N","T","0,10","mg(Cl2)/L","165","","","0.100000","",""
"047","04700080838","COULQ","5900","COULEUR (QUALITATIF)","Couleur (qualitatif)",,"O","L","Aucun changement anormal","SANS OBJET","X","","","0.000000","","04700080898"
"047","04700080838","CTF","1447","BACTÉRIES COLIFORMES /100ML-MS","Bactéries coliformes /100ml-MS",,"N","L","0","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","04700080898"
"047","04700080838","ECOLI","1449","ESCHERICHIA COLI /100ML - MF","Escherichia coli /100ml - MF",,"N","L","0","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","04700080898"
