cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"02A","02A000007","2A141","LETIA","02A000006","UNITE STERILISATION U.V ST-MARTIN","100 %","02A00115238","2024-01-17","09h45","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000007","2A141","LETIA","","","","02A00115833","2024-04-15","10h20","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000007","2A141","LETIA","","","","02A00116465","2024-07-08","11h05","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","N","N"
"02A","02A000007","2A141","LETIA","02A000006","UNITE STERILISATION U.V ST-MARTIN","100 %","02A00117368","2024-10-03","09h50","Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","N","C","N","N"
"02A","02A000007","2A141","LETIA","","","","02A00117617","2024-11-14","11h10","Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","N","C","N","N"
"02A","02A000008","2A141","LETIA","02A002726","UNITE STERILISATION ST-ROCH","100 %","02A00115228","2024-01-17","10h10","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000008","2A141","LETIA","","","","02A00115832","2024-04-15","10h00","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est à surveiller.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","N","N"
"02A","02A000008","2A141","LETIA","","","","02A00116367","2024-07-08","10h55","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000008","2A141","LETIA","02A002726","UNITE STERILISATION ST-ROCH","100 %","02A00117369","2024-10-03","09h25","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes sulfito-réducteurs est également à surveiller.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","N","N"
"02A","02A000008","2A141","LETIA","","","","02A00117616","2024-11-14","11h30","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","COMMUNE DE LETIA","MAIRIE DE LETIA","MAIRIE DE LETIA","C","C","C","N"
"02A","02A000010","2A060","CANNELLE","02A002109","UNITE STERILISATION CANNELLE","100 %","02A00115220","2024-01-16","10h00","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SIVOM DE LA CINARCA ET DU LIAMONE","SIVOM DE LA CINARCA ET DU LIAMONE","C","C","C","C"
"02A","02A000010","2A060","CANNELLE","","","","02A00115850","2024-05-02","08h15","Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.","SYNDICAT CINARCA LIAMONE INTERIEUR","SIVOM DE LA CINARCA ET DU LIAMONE","SIVOM DE LA CINARCA ET DU LIAMONE","C","C","C","N"
"02A","02A000010","2A060","CANNELLE","","","","02A00117138","2024-07-03","10h40","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SIVOM DE LA CINARCA ET DU LIAMONE","SIVOM DE LA CINARCA ET DU LIAMONE","C","C","C","C"
"02A","02A000010","2A060","CANNELLE","","","","02A00117216","2024-09-18","09h40","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SIVOM DE LA CINARCA ET DU LIAMONE","SIVOM DE LA CINARCA ET DU LIAMONE","C","C","C","C"
"02A","02A000010","2A060","CANNELLE","02A002109","UNITE STERILISATION CANNELLE","100 %","02A00117511","2024-10-21","10h30","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SIVOM DE LA CINARCA ET DU LIAMONE","SIVOM DE LA CINARCA ET DU LIAMONE","C","C","C","C"
"02A","02A000013","2A014","AMBIEGNA","","","","02A00115852","2024-05-02","08h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT CINARCA LIAMONE INTERIEUR","SIVOM DE LA CINARCA ET DU LIAMONE","SIVOM DE LA CINARCA ET DU LIAMONE","C","C","C","C"
