cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"02B","02B000004","2B005","ALANDO","02B000002","RESERVOIR ALANDO","100 %","02B00113283","2024-02-08","08h30","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000004","2B005","ALANDO","","","","02B00114548","2024-07-03","09h00","Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","N","C","N","C"
"02B","02B000004","2B005","ALANDO","02B000002","RESERVOIR ALANDO","100 %","02B00116102","2024-10-22","09h10","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000004","2B005","ALANDO","","","","02B00116103","2024-12-04","09h00","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000011","2B023","ASCO","02B000008","RESERVOIR ASCO","100 %","02B00113303","2024-04-23","07h00","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","N","N"
"02B","02B000011","2B023","ASCO","","","","02B00113305","2024-01-30","07h10","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","N","N"
"02B","02B000011","2B023","ASCO","","","","02B00114564","2024-05-28","08h50","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000011","2B023","ASCO","02B000008","RESERVOIR ASCO","100 %","02B00116118","2024-09-09","09h10","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000011","2B023","ASCO","","","","02B00116119","2024-10-29","07h00","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000021","2B003","AITI","02B000018","RESERVOIR AITI","100 %","02B00113281","2024-02-06","08h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","C","C","C","C"
