cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"046","046000379","46006","ANGLARS-NOZAC","","","","04600090826","2024-01-25","11h10","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE ANGLARS NOZAC","SAUR FRANCE 46","MAIRIE DE ANGLARS NOZAC","C","C","C","C"
"046","046000379","46006","ANGLARS-NOZAC","","","","04600091143","2024-04-02","10h19","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE ANGLARS NOZAC","SAUR FRANCE 46","MAIRIE DE ANGLARS NOZAC","C","C","C","C"
"046","046000379","46006","ANGLARS-NOZAC","046000207","STATION AU COUDERT","100 %","04600091376","2024-06-19","12h58","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE ANGLARS NOZAC","SAUR FRANCE 46","MAIRIE DE ANGLARS NOZAC","C","C","C","C"
"046","046000379","46006","ANGLARS-NOZAC","","","","04600091709","2024-08-08","10h27","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE ANGLARS NOZAC","SAUR FRANCE 46","MAIRIE DE ANGLARS NOZAC","C","C","C","C"
"046","046000379","46006","ANGLARS-NOZAC","","","","04600091919","2024-10-22","11h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE ANGLARS NOZAC","SAUR FRANCE 46","MAIRIE DE ANGLARS NOZAC","C","C","C","C"
"046","046000379","46006","ANGLARS-NOZAC","046000207","STATION AU COUDERT","100 %","04600092136","2024-12-09","12h01","Eau d'alimentation non conforme aux exigences de qualité en vigueur. L a non conformité concernant le carbone organique total (COT) n'a pas n écessité de restriction de la consommation de l'eau. Ce paramètre perm et de mesurer la teneur en matière organique présente dans l'eau. Cell e-ci doit être la plus faible possible. Il a été demandé à l'exploitan t de prendre les mesures correctives nécessaires pour rétablir la qual ité de l'eau. Un nouveau contrôle a été programmé pour suivre l'évolut ion du paramètre et vérifier le retour à une situation normale.","MAIRIE DE ANGLARS NOZAC","SAUR FRANCE 46","MAIRIE DE ANGLARS NOZAC","C","C","C","C"
"046","046000379","46006","ANGLARS-NOZAC","046000207","STATION AU COUDERT","100 %","04600095483","2024-12-16","10h38","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE ANGLARS NOZAC","SAUR FRANCE 46","MAIRIE DE ANGLARS NOZAC","S","C","S","C"
"046","046000380","46011","AUTOIRE","046000209","STATION DU BOURG","100 %","04600090922","2024-02-14","10h09","Eau d'alimentation non conforme aux exigences de qualité en vigueur. L a non conformité concernant la turbidité n'a pas nécessité de restrict ion de la consommation de l'eau. Ce paramètre permet de mesurer le tau x de particules en suspension présentes dans l'eau (argiles, colloïdes ,...). Il a été demandé à l'exploitant de prendre les mesures correcti ves nécessaires pour rétablir la qualité de l'eau.","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","C","C","C","N"
"046","046000380","46011","AUTOIRE","","","","04600091144","2024-04-30","09h55","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","C","C","C","C"
"046","046000380","46011","AUTOIRE","","","","04600091377","2024-06-04","10h57","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","C","C","C","C"
"046","046000380","46011","AUTOIRE","046000209","STATION DU BOURG","100 %","04600091710","2024-08-22","11h00","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","C","C","C","C"
"046","046000380","46011","AUTOIRE","","","","04600091920","2024-10-08","11h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","C","C","C","C"
"046","046000380","46011","AUTOIRE","","","","04600092137","2024-12-04","09h30","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","MAIRIE DE AUTOIRE","C","C","C","C"
"046","046000382","46015","BAGNAC-SUR-CELE","","","","04600090827","2024-01-23","10h26","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYND. MIXTE LIMARGUE SEGALA REGIE","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","C","C","C","N"
"046","046000382","46015","BAGNAC-SUR-CELE","","","","04600090923","2024-02-12","10h15","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYND. MIXTE LIMARGUE SEGALA REGIE","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","C","C","C","N"
"046","046000382","46015","BAGNAC-SUR-CELE","046000592","STATION DE BEL AIR","100 %","04600091032","2024-03-05","08h44","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYND. MIXTE LIMARGUE SEGALA REGIE","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","C","C","C","N"
"046","046000382","46015","BAGNAC-SUR-CELE","","","","04600091363","2024-05-21","09h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYND. MIXTE LIMARGUE SEGALA REGIE","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","C","C","C","C"
"046","046000382","46015","BAGNAC-SUR-CELE","","","","04600091378","2024-06-24","09h34","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYND. MIXTE LIMARGUE SEGALA REGIE","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","C","C","C","C"
"046","046000382","46015","BAGNAC-SUR-CELE","046000592","STATION DE BEL AIR","100 %","04600091518","2024-07-18","08h48","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYND. MIXTE LIMARGUE SEGALA REGIE","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","C","C","C","N"
"046","046000382","46015","BAGNAC-SUR-CELE","","","","04600091802","2024-09-10","09h53","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYND. MIXTE LIMARGUE SEGALA REGIE","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","SYNDICAT MIXTE DU LIMARGUE ET SÉGALA","C","C","C","C"
