cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"090","090000018","90052","GIROMAGNY","","","","09000042559","2024-01-24","10h50","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90052","GIROMAGNY","090003795","STATION MONT JEAN","10 %","09000042562","2024-01-24","10h10","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90016","BOURG-SOUS-CHATELET","","","","09000042604","2024-02-13","10h15","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90057","LACHAPELLE-SOUS-CHAUX","","","","09000042608","2024-02-13","11h00","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90065","LEPUIX","090000012","STATION DE MALVAUX","90 %","09000042610","2024-02-13","09h40","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90065","LEPUIX","090000012","STATION DE MALVAUX","90 %","09000042651","2024-03-11","09h30","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90065","LEPUIX","090000012","STATION DE MALVAUX","90 %","09000042660","2024-02-13","10h00","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","S","C","S","N"
"090","090000018","90041","ETUEFFONT","","","","09000042664","2024-03-11","10h50","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90052","GIROMAGNY","","","","09000042718","2024-04-17","10h15","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90041","ETUEFFONT","","","","09000042730","2024-03-11","11h00","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","S","C","S","C"
"090","090000018","90023","CHAUX","","","","09000042768","2024-05-13","09h50","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90003","ANJOUTEY","","","","09000042792","2024-05-28","10h00","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90065","LEPUIX","090000012","STATION DE MALVAUX","90 %","09000042818","2024-06-11","09h40","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90054","GROSMAGNY","","","","09000042821","2024-06-11","11h10","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90088","ROUGEGOUTTE","","","","09000042844","2024-06-25","10h35","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90052","GIROMAGNY","","","","09000042894","2024-07-15","11h25","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90041","ETUEFFONT","","","","09000042895","2024-07-15","11h00","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
"090","090000018","90065","LEPUIX","090000012","STATION DE MALVAUX","90 %","09000042935","2024-06-11","09h50","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","S","C","S","N"
"090","090000018","90052","GIROMAGNY","090003795","STATION MONT JEAN","10 %","09000042993","2024-09-04","09h00","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","SYNDICAT DES EAUX DE GIROMAGNY","C","C","C","N"
