cddept,referenceprel,cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,libwebparametre,qualitparam,insituana,rqana,cdunitereferencesiseeaux,cdunitereference,limitequal,refqual,valtraduite,casparam,referenceanl
"973","97300062025","ALTMICR","1370","ALUMINIUM TOTAL µG/L","Aluminium total µg/l","","N","L","<50","µg/L","133","","<=200 µg/L","0.000000","7429-90-5","97300064320"
"973","97300062025","ASP","6489","ASPECT (QUALITATIF)","Aspect (qualitatif)",,"O","L","Aspect normal","SANS OBJET","X","","","0.000000","","97300064320"
"973","97300062025","BSIR","1042","BACT. ET SPORES SULFITO-RÉDU./100ML","Bact. et spores sulfito-rédu./100ml",,"N","L","<1","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","97300064320"
"973","97300062025","CDT25","1303","CONDUCTIVITÉ À 25°C","Conductivité à 25°C",,"N","L","83,0","µS/cm","147","",">=200 et <=1100 µS/cm","83.000000","","97300064320"
"973","97300062025","CL","1337","CHLORURES","Chlorures",,"N","L","3,87","mg/L","162","","<=250 mg/L","3.870000","16887-00-6","97300064320"
"973","97300062025","CL2LIB","1398","CHLORE LIBRE","Chlore libre",,"N","T","1,50","mg(Cl2)/L","165","","","1.500000","",""
"973","97300062025","CL2TOT","1399","CHLORE TOTAL","Chlore total",,"N","T","1,80","mg(Cl2)/L","165","","","1.800000","",""
"973","97300062025","COT","1841","CARBONE ORGANIQUE TOTAL","Carbone organique total",,"N","L","2,02","mg(C)/L","163","","<=2 mg(C)/L","2.020000","","97300064320"
"973","97300062025","COULF","1309","COLORATION","Coloration",,"N","L","0,0","mg(Pt)/L","178","","<=15 mg(Pt)/L","0.000000","","97300064320"
"973","97300062025","CTF","1447","BACTÉRIES COLIFORMES /100ML-MS","Bactéries coliformes /100ml-MS",,"N","L","<1","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","97300064320"
"973","97300062025","ECOLI","1449","ESCHERICHIA COLI /100ML - MF","Escherichia coli /100ml - MF",,"N","L","<1","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","97300064320"
"973","97300062025","GT22_68","5440","BACT. AÉR. REVIVIFIABLES À 22°-68H","Bact. aér. revivifiables à 22°-68h",,"N","L","<1","n/mL","222","","","0.000000","","97300064320"
"973","97300062025","GT36_44","5441","BACT. AÉR. REVIVIFIABLES À 36°-44H","Bact. aér. revivifiables à 36°-44h",,"N","L","<1","n/mL","222","","","0.000000","","97300064320"
"973","97300062025","NH4","1335","AMMONIUM (EN NH4)","Ammonium (en NH4)",,"N","L","<0,05","mg/L","162","","<=0,1 mg/L","0.000000","14798-03-9","97300064320"
"973","97300062025","NO2","1339","NITRITES (EN NO2)","Nitrites (en NO2)",,"N","L","<0,05","mg/L","162","<=0,1 mg/L","","0.000000","14797-65-0","97300064320"
"973","97300062025","NO3","1340","NITRATES (EN NO3)","Nitrates (en NO3)",,"N","L","<1","mg/L","162","<=50 mg/L","","0.000000","14797-55-8","97300064320"
