cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"02B","02B000004","2B005","ALANDO","02B000002","RESERVOIR ALANDO","100 %","02B00109799","2023-05-11","08h30","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000004","2B005","ALANDO","","","","02B00111081","2023-07-19","08h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000004","2B005","ALANDO","02B000002","RESERVOIR ALANDO","100 %","02B00112450","2023-12-18","07h30","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","N"
"02B","02B000004","2B005","ALANDO","","","","02B00112451","2023-10-11","08h40","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ALANDO","MAIRIE DE ALANDO","MAIRIE DE ALANDO","C","C","C","C"
"02B","02B000011","2B023","ASCO","02B000008","RESERVOIR ASCO","100 %","02B00109820","2023-06-05","07h20","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000011","2B023","ASCO","","","","02B00109822","2023-03-07","07h20","Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","N","C","N","N"
"02B","02B000011","2B023","ASCO","","","","02B00111097","2023-08-29","06h50","Eau d'alimentation conforme aux limites de qualité. Turbidité hors norme. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000011","2B023","ASCO","02B000008","RESERVOIR ASCO","100 %","02B00112465","2023-11-09","06h50","Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","N","C","N","N"
"02B","02B000011","2B023","ASCO","","","","02B00112466","2023-10-02","07h50","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","ASCO","MAIRIE DE ASCO","MAIRIE DE ASCO","C","C","C","N"
"02B","02B000021","2B003","AITI","02B000018","RESERVOIR AITI","100 %","02B00109796","2023-04-26","06h50","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","C","C","C","C"
"02B","02B000021","2B003","AITI","","","","02B00109797","2023-02-09","06h30","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","C","C","C","C"
"02B","02B000021","2B003","AITI","","","","02B00111080","2023-07-13","06h00","Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","N","C","C","C"
"02B","02B000021","2B003","AITI","","","","02B00112449","2023-10-24","06h15","Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.","AITI","MAIRIE DE AITI","MAIRIE DE AITI","N","C","C","C"
"02B","02B000029","2B235","PIOGGIOLA","02B000026","RESERVOIR PIOGGIOLA","100 %","02B00110824","2023-03-20","06h40","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","C","N"
"02B","02B000029","2B235","PIOGGIOLA","","","","02B00110825","2023-06-08","07h40","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","N","N"
"02B","02B000029","2B235","PIOGGIOLA","02B000026","RESERVOIR PIOGGIOLA","100 %","02B00111981","2023-07-17","08h10","Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","N","C","N","C"
"02B","02B000029","2B235","PIOGGIOLA","","","","02B00111982","2023-08-29","09h00","Eau d'alimentation conforme aux limites de qualité. Présence de bactéries coliformes. La teneur en chlore libre est insuffisante.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","N","C"
"02B","02B000029","2B235","PIOGGIOLA","","","","02B00113237","2023-10-17","07h30","Eau d'alimentation conforme aux limites de qualité. Présence de bactéries sulfito-réductrices.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","N","C"
"02B","02B000038","2B156","MAUSOLEO","02B000037","RESERVOIR MAUSOLEO VILLAGE","100 %","02B00110808","2023-03-20","07h00","Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","C","N"
"02B","02B000038","2B156","MAUSOLEO","","","","02B00111961","2023-06-08","07h20","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","C","N"
"02B","02B000038","2B156","MAUSOLEO","","","","02B00113226","2023-10-17","06h50","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","C","N"
"02B","02B000043","2B190","OLMI-CAPPELLA","02B000125","RESERVOIR OLMI CAPELLA","100 %","02B00110623","2023-03-20","06h10","Eau d'alimentation conforme aux limites de qualité. Eau agressive. Eau faiblement minéralisée.","OEHC","OEHC","OEHC","C","C","C","N"
"02B","02B000043","2B190","OLMI-CAPPELLA","","","","02B00110817","2023-03-20","06h20","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée.","COM COM DE L'ILE ROUSSE-BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","CC DE L'ÎLE-ROUSSE - BALAGNE","C","C","C","N"
"02B","02B000043","2B190","OLMI-CAPPELLA","02B000125","RESERVOIR OLMI CAPELLA","100 %","02B00111780","2023-07-17","07h50","Eau d'alimentation conforme aux limites de qualité. Eau faiblement minéralisée. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante.","OEHC","OEHC","OEHC","C","C","N","N"
