cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"013","013000011","13005","AUBAGNE","","","","01300251631","2023-01-06","09h51","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300251632","2023-01-06","10h52","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","013000009","LE PIN VERT","100 %","01300251749","2023-01-12","11h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300251769","2023-01-13","08h33","L’eau d’alimentation est conforme aux limites de qualité et non conforme aux références de qualité pour le paramètre turbidité. Une turbidité trop importante peut favoriser une contamination microbienne de l’eau.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","N"
"013","013000011","13005","AUBAGNE","","","","01300251927","2023-01-17","09h33","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300251931","2023-01-17","10h03","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300252073","2023-01-24","09h41","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252074","2023-01-24","10h10","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300252187","2023-02-02","09h42","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252188","2023-02-02","10h14","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252210","2023-02-03","08h57","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252214","2023-02-03","08h18","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252627","2023-02-21","11h01","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252630","2023-02-21","08h48","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252662","2023-02-23","14h04","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300252805","2023-02-23","12h09","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252874","2023-03-02","09h21","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300252876","2023-03-02","08h28","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300253004","2023-03-06","11h06","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300253005","2023-03-06","11h45","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300253015","2023-03-06","12h22","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300253274","2023-03-17","08h57","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","","","","01300253276","2023-03-17","08h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","013000009","LE PIN VERT","100 %","01300253516","2023-03-22","11h35","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300253551","2023-03-27","10h04","L’eau d’alimentation est conforme aux limites de qualité et non conforme aux références de qualité pour le paramètre fer. La présence de fer peut témoigner d’un éventuel dysfonctionnement du processus de coagulation. Une analyse complémentaire a été programmée afin de vérifier la nature exceptionnelle de cette contamination.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","N"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300253752","2023-04-04","08h42","L’eau d’alimentation est conforme aux limites de qualité et non conforme aux références de qualité pour le paramètre fer. La présence de fer peut témoigner d’un éventuel dysfonctionnement du processus de coagulation. Une analyse complémentaire a été programmée afin de vérifier la nature exceptionnelle de cette contamination.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","N"
"013","013000011","13005","AUBAGNE","","","","01300253754","2023-04-04","09h14","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13005","AUBAGNE","013000009","LE PIN VERT","100 %","01300253870","2023-03-30","09h16","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","C"
"013","013000011","13070","PENNE-SUR-HUVEAUNE (LA)","","","","01300253960","2023-04-13","11h44","Cette analyse réalisée dans le cadre d’un recontrôle met en évidence une eau d’alimentation conforme aux limites de qualité et non conforme aux références de qualité pour le paramètre fer. Une analyse complémentaire est à nouveau programmée prochainement.","AEP ZONE SUD (SPL-T4)","SPL L'EAU DES COLLINES","DIRECTION EXPLOITATION ZONE SUD","C","C","C","N"
