cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"082","082000134","82008","AUVILLAR","","","","08200085487","2023-01-10","11h11","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SE. AUVILLAR","SE. AUVILLAR","SE. AUVILLAR","C","C","C","C"
"082","082000134","82166","SAINT-MICHEL","082000084","STATION DE CANDES","","08200085632","2023-02-09","10h09","Eau d'alimentation non conforme aux exigences de qualité pour le métabolite de pesticide chlorothalonil R471811]. La valeur sanitaire propre à cette molécule n'a pas été dépassée. L'eau peut donc être consommée sans restriction d'usage. Un prélèvement de recontrôle a été programmé. En cas de confirmation de la non conformité, il sera demandé au responsable de la distribution d'eau de mettre en place des mesures correctives (information de la population concernée, mesures nécessaires pour rétablir la qualité de l'eau).","SM. AUVILLAR-LAVIT-DONZAC","SM. AUVILLAR-LAVIT-DONZAC","SM. AUVILLAR-LAVIT-DONZAC","C","N","C","C"
"082","082000134","82109","MERLES","","","","08200085633","2023-02-09","10h19","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La turbidité et la concentration en fer sont supérieures aux références de qualité. La teneur excessive en fer n'entraîne pas directement un risque sanitaire mais la présence de cet élément à des concentrations excessives peut induire des effets indirects gênants pour l'usager,notamment des goûts perceptibles et une coloration rouille. Les mesures correctives ont été demandées à l'exploitant. De nouveaux contrôles ont été réalisés le 27 février 2023 pour suivre l'évolution de ce paramètre.","SE. AUVILLAR","SE. AUVILLAR","SE. AUVILLAR","C","C","C","N"
"082","082000134","82109","MERLES","","","","08200085660","2023-02-09","10h18","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Ce prélèvement pour recherche des métaux a été réalisé sur un banchement privé et n'est pas représentatif du réseau public.","SE. AUVILLAR","SE. AUVILLAR","SE. AUVILLAR","S","C","S","C"
"082","082000134","82166","SAINT-MICHEL","082000084","STATION DE CANDES","","08200085763","2023-04-12","09h57","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SM. AUVILLAR-LAVIT-DONZAC","SM. AUVILLAR-LAVIT-DONZAC","SM. AUVILLAR-LAVIT-DONZAC","C","C","C","C"
"082","082000134","82139","PIN (LE)","","","","08200085764","2023-04-12","10h37","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SE. AUVILLAR","SE. AUVILLAR","SE. AUVILLAR","C","C","C","C"
"082","082000134","82102","MANSONVILLE","","","","08200085872","2023-05-03","14h44","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SE. AUVILLAR","SE. AUVILLAR","SE. AUVILLAR","C","C","C","C"
"082","082000134","82166","SAINT-MICHEL","082000084","STATION DE CANDES","","08200085975","2023-06-06","08h50","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau à caractère agressif susceptible de favoriser la dissolution des métaux dans l'eau, notamment le plomb s'il est constitutif des branchements publics ou des réseaux privés. Dans ce cas, Il est recommandé de laisser couler l'eau avant de l'utiliser à fins alimentaires.","SM. AUVILLAR-LAVIT-DONZAC","SM. AUVILLAR-LAVIT-DONZAC","SM. AUVILLAR-LAVIT-DONZAC","C","C","C","N"
"082","082000134","82166","SAINT-MICHEL","","","","08200085976","2023-06-06","09h44","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SE. AUVILLAR","SE. AUVILLAR","SE. AUVILLAR","C","C","C","C"
"082","082000134","82008","AUVILLAR","","","","08200086085","2023-07-25","09h44","Eau d'alimentation conforme aux limites de qualité. La teneur en chlorite mesurée dépasse la référence de qualité établie à 0,25 mg/litre. Elle est cependant inférieure à la limite de qualité fixée à 0,7mg/l lorsqu'une méthode de désinfection des eaux destinées à la consommation humaine qui génère des chlorites est utilisée.La valeur la plus faible doit être visée sans compromettre la désinfection. La température de l'eau est élevée.","SE. AUVILLAR","SE. AUVILLAR","SE. AUVILLAR","C","C","C","N"
